map_name,gen_type,gen_tech,energy_source
default,Biomass,Biomass,Bio Solid
default,Hydro,Conventional Hydroelectric,Water
default,Coal,Conventional Steam Coal,Coal
default,Naturalgas,Natural Gas Fired Combined Cycle,Naturalgas
default,Naturalgas,Natural Gas Fired Combustion Turbine,Naturalgas
default,Naturalgas,Natural Gas Steam Turbine,Naturalgas
default,Nuclear,Nuclear,Uranium
default,Solar,Solar Photovoltaic,Solar
default,Wind,Onshore Wind Turbine,Wind
default,Hydro,Hydroelectric Pumped Storage,Water
default,Wind,Offshore Wind Turbine,Wind
default,Naturalgas,NaturalGas_CCCCSAvgCF_Conservative,Naturalgas
default,Naturalgas,NaturalGas_CCAvgCF_Moderate,Naturalgas
default,Naturalgas,NaturalGas_CTAvgCF_Moderate,Naturalgas
default,Storage,Battery_*_Moderate,Electricity
default,Naturalgas,NaturalGas_CCS100_Moderate,Naturalgas
default,Wind,LandbasedWind_Class1_Moderate_75,Wind
default,Solar,UtilityPV_Class1_Moderate_50,Solar
default,Wind,OffShoreWind_Class12_Moderate_floating_0,Wind
default,Wind,OffShoreWind_Class3_Moderate_fixed_0,Wind
default,Wind,OffShoreWind_Class3_Moderate_fixed_1,Wind
